ID,filename,label
0,files/e2991a66-412d-4841-8dc0-524e38338a82 Leaf 517.1.JPG,Tomato_healthy
1,files/e9392a5e-2fac-48c5-a23d-df3aa3f61048 Leaf 217.JPG,Tomato_healthy
2,files/87a77f4d-38bd-42dc-bdd3-5f2a1fa95ca7 Leaf 469.3.JPG,Tomato_healthy
3,files/efe6c986-b85c-40f1-8cb5-345acbb36b71 0579.JPG,Tomato_healthy
4,files/cdf10741-0ed4-4a27-a2e9-8970e4426730 0356.JPG,Tomato_healthy
5,files/7079935b-c669-47db-a6ae-5a12d9ccf9d7 Leaf 331.1.JPG,Tomato_healthy
6,files/af83b40a-8cac-4467-a44b-1a129b25e4fc Leaf 362.1.JPG,Tomato_healthy
7,files/912988d9-48b0-4a21-b3cd-1e136cbe5cc6 0629.JPG,Tomato_healthy
8,files/9bda0790-8cb2-4dce-8b8a-debdbd08a67d Leaf 388.JPG,Tomato_healthy
9,files/a2118ec3-8434-4e93-8a4a-aa93262dfa76 0551.JPG,Tomato_healthy
10,files/f1e20811-da4e-4f0f-b8ee-f325d90f6481 0084.JPG,Tomato_healthy
11,files/62c36cad-2102-451d-aca7-93f2e58e14ab 0481.JPG,Tomato_healthy
12,files/06ee1c8d-fbe4-48e9-a1b2-fed7ed5539f7 Leaf 293.JPG,Tomato_healthy
13,files/41c4774e-5193-47db-947c-27a724d0d993 0234.JPG,Tomato_healthy
14,files/1fa569d8-45ba-4633-b66d-3fdb07ed523e 0533.JPG,Tomato_healthy
15,files/9a97f632-a6a4-4a7e-9a82-90167fdf8fff Leaf 181.JPG,Tomato_healthy
16,files/991e779d-ffcb-4f55-98f6-20575d202757 0166.JPG,Tomato_healthy
17,files/6da1cf1b-a236-4d45-a390-dac6b65c45f7 Leaf 264.JPG,Tomato_healthy
18,files/476e6aa3-ad1e-4f86-abea-c37dfb3f8df9 0522.JPG,Tomato_healthy
19,files/139d2f99-d25b-440d-805e-d070a399d8f1 0600.JPG,Tomato_healthy
20,files/2a7e1698-9747-40e6-994e-5d4dc1d2b239 0279.JPG,Tomato_healthy
21,files/d75ed8c7-610e-4abd-8a3a-a08993a92df3 Leaf 323.2.JPG,Tomato_healthy
22,files/583238e5-392b-40ef-9bbe-be54bda61477 9869.JPG,Tomato_healthy
23,files/3211fc4b-c216-46c3-9db7-b340684066b2 0360.JPG,Tomato_healthy
24,files/b208c306-c151-4941-85f0-47735d9b6984 0263.JPG,Tomato_healthy
25,files/57cc95ac-1fae-4959-ba16-d65c3db753d1 0312.JPG,Tomato_healthy
26,files/ae3582b0-2528-4534-954b-1f9b1372c10f 9861.JPG,Tomato_healthy
27,files/a9ebbd1c-8e4f-4ff9-b126-401cf57d3e4c 0328.JPG,Tomato_healthy
28,files/4758f78c-2d77-4f22-aee8-914c0745edcf 0434.JPG,Tomato_healthy
29,files/41dc5ea4-076f-4539-8cbb-6d4e53371c50 0472.JPG,Tomato_healthy
30,files/e6d12c88-7d13-4b26-ada8-c5b34ccc77a5 0435.JPG,Tomato_healthy
31,files/5f67b4d4-4503-4149-950b-6cd08a20aaf8 9696.JPG,Tomato_healthy
32,files/6d4285ef-e3f2-4cd3-a873-efdd989cf1cb 0182.JPG,Tomato_healthy
33,files/4ce3098b-aad2-4e5b-8f3b-fd827cad2c0b 0026.JPG,Tomato_healthy
34,files/47d38fb3-c397-433f-a478-482a660b70f3 0113.JPG,Tomato_healthy
35,files/691682b4-7c83-4cb9-a0d6-e1fbdcc4fea3 0232.JPG,Tomato_healthy
36,files/efe384e9-8131-4164-884f-dff1d0995608 0272.JPG,Tomato_healthy
37,files/a90b4d5b-86f9-48ae-9ede-ae3ac462f9bc 9872.JPG,Tomato_healthy
38,files/741595d0-322d-4711-9005-b1e39b9567c1 0491.JPG,Tomato_healthy
39,files/b3ff240c-bcdd-4926-9e87-c515cd6c2971 Leaf 409.JPG,Tomato_healthy
40,files/10716d69-324b-4423-9e1e-b09559babb89 Leaf 267.1.JPG,Tomato_healthy
